Year,Month,Cover Model
1975,November,Patricia McClain
1975,December,Lillian Müller
1976,January,"Lynnda Kimball, Mesina Miller, Lillian Müller, Azizi Johari, Ingeborg Sorensen, Victoria Cunningham, Lynn Schiller, Laura Misch, Jill De Vries, Bridgett Rollins, Janet Lupo, Nancie Li Brandi"
1976,February,Jill De Vries
1976,March,Victoria Cunningham
1976,April,Kristine DeBell
1976,May,Nancy Cameron
1976,June,Lillian Müller
1976,July,Cyndi Wood
1976,August,"Vol. 23, No. 8"
1976,September,"Vol. 23, No. 9"
1976,October,"Whitney Kaine, Karen Hafter"
1976,November,Patti McGuire
1976,December,"Ann Pennington, Deborah Borkman"
1977,January,"Daina House, Laura Lyons, Ann Pennington, Denise Michele, Patricia McClain, Debra Peterson, Lillian Müller, Deborah Borkman, Linda Beatty, Whitney Kaine, Hope Olson, Patti McGuire, Karen Hafter"
1977,February,Lena Kansbod
1977,March,Susan Kiger
1977,April,Lisa Sohm
1977,May,Lillian Müller
1977,June,Patti McGuire
1977,July,Pamela Serpe
1977,August,Karen Christy
1977,September,"Denise Michele, Hope Olson, Lisa Sohm"
1977,October,Barbra Streisand
1977,November,Susan Kiger
1977,December,Sondra Theodore
1978,January,Rita Lee
1978,February,Hope Olson
1978,March,Debra Jensen
1978,April,"Susan Kiger, Patty Kiger"
1978,May,Debra Peterson
1978,June,Debra Jo Fondren
1978,July,Pamela Sue Martin
1978,August,Nicki Thomas
1978,September,Sue Paul
1978,October,Dolly Parton
1978,November,Monique St. Pierre
1978,December,Farrah Fawcett
1979,January,25th Anniversary Issue
1979,February,Candace Collins
1979,March,Debra Jensen
1979,April,Rita Lee
1979,May,Cheryle Larsen
1979,June,Monique St. Pierre
1979,July,Denise Gauthier
1979,August,Candy Loving
1979,September,Vicki McCarty
1979,October,"Burt Reynolds, Gig Gangel"
1979,November,Phyllis McCreary
1979,December,Raquel Welch
1980,January,"Steve Martin, Amy Miller, Michele Drake"
1980,February,Candace Collins
1980,March,Bo Derek
1980,April,Shari Shattuck
1980,May,Terri Welles
1980,June,Dorothy Stratten
1980,July,Sandra Dumas
1980,August,Bo Derek
1980,September,Rita Lee
1980,October,S.J. Fellowes
1980,November,Mardi Jacquet
1980,December,"Vol. 27, No. 12"
1981,January,Barbara Bach
1981,February,"Terri Welles, Candy Loving, Sondra Theodore"
1981,March,"Tricia Barnstable, Cybil Barnstable"
1981,April,Liz Wickersham
1981,May,Gabriella Brum
1981,June,Terri Welles
1981,July,Jayne Kennedy
1981,August,Valerie Perrine
1981,September,Bo Derek
1981,October,Cathy St. George
1981,November,Teri Peterson
1981,December,Bernadette Peters
1982,January,Natalie Levy Bencheton
1982,February,Kimberly McArthur
1982,March,Barbara Carrera
1982,April,Mariel Hemingway
1982,May,Vickie Reigle
1982,June,Shannon Tweed
1982,July,Lynda Wiesmeier
1982,August,Vicki McCarty
1982,September,Kymberly Herrin
1982,October,Tanya Roberts
1982,November,Lorraine Michaels
1982,December,Marcy Hanson
1983,January,"Audrey Landers, Judy Landers"
1983,February,Kim Basinger
1983,March,"Kimberly McArthur, Kelly Tough, Karen Witter"
1983,April,Carrie Leigh
1983,May,Nastassja Kinski
1983,June,Marianne Gravatte
1983,July,Ruth Guerri
1983,August,Sybil Danning
1983,September,Kymberly Herrin
1983,October,Charlotte Kemp
1983,November,Donna Ann
1983,December,Joan Collins
1984,January,30th Anniversary Issue
1984,February,Kimberly McArthur
1984,March,Susie Scott Krabacher
1984,April,Kathy Shower
1984,May,"Rita Jenrette, Phillip Anderson"
1984,June,Barbara Edwards
1984,July,Bo Derek
1984,August,Terry Moore
1984,September,Kimberly Evenson
1984,October,Lesa Pedriana
1984,November,Christie Brinkley
1984,December,Suzanne Somers
1985,January,Goldie Hawn
1985,February,Julie McCullough
1985,March,Shannon Tweed
1985,April,"Natalie Smith, Donna Smith"
1985,May,Karen Velez
1985,June,Roxanne Pulitzer
1985,July,Tracy Vaccaro
1985,August,Kathy Shower
1985,September,Madonna
1985,October,Sherry Arnett
1985,November,Teri Weigel
1985,December,Barbi Benton
1986,January,"Vol. 33, No. 1"
1986,February,JoAnne Russell
