year,issue_period,display_label,cover_model,playmate_name,interview_subject,notable_cover_names,source_confidence
1964,December,December 1964,"Vol. 11, No. 12",Jo Collins,Ian Fleming,,verified
1965,January,January 1965,"Sharon Rogers, Nancy Jo Hooper, Nancy Scott, Ashlyn Martin, Terri Kimball, Lori Winston, Melba Ogle, China Lee, Astrid Schulz, Rosemarie Hillcrest, Kai Brendlinger, Jo Collins",Sally Duberson,Martin Luther King,,verified
1965,February,February 1965,Teddi Smith,Jessica St. George,The Beatles,,verified
1965,March,March 1965,"Vol. 12, No. 3",Jennifer Jackson,,,verified
1965,April,April 1965,Lannie Balcom,Sue Williams,Art Buchwald,,verified
1965,May,May 1965,"Vol. 12, No. 5",Maria McBane,Jean-Paul Sartre,,verified
1965,June,June 1965,Turid Lundberg,Hedy Scott,Melvin Belli,,verified
1965,July,July 1965,Joey Thorpe,Gay Collier,Marcello Mastroianni,,verified
1965,August,August 1965,Jo Collins,Lannie Balcom,Robert Shelton,,verified
1965,September,September 1965,Teddi Smith,Patti Reynolds,Peter O'Toole,,verified
1965,October,October 1965,Penny James,Allison Parks,Madalyn Murray,,verified
1965,November,November 1965,Beth Hyatt,Pat Russo,Sean Connery,,verified
1965,December,December 1965,Allison Parks,Dinah Willis,Al Capp,,verified
1966,January,January 1966,Patti Reynolds,Judy Tyler,Princess Grace,,verified
1966,February,February 1966,Sissy,Melinda Windsor,Federico Fellini,,verified
1966,March,March 1966,"Vol. 13, No. 3",Priscilla Wright,Bob Dylan,,verified
1966,April,April 1966,Cynthia Maddox,Karla Conway,George Lincoln Rockwell,,verified
1966,May,May 1966,Allison Parks,Dolly Read,"Arthur Schlesinger, Jr.",,verified
1966,June,June 1966,Mary Warren,Kelly Burke,Mike Nichols,,verified
1966,July,July 1966,"Penny James, Patti Reynolds, Joann Russell, Barbara Shaw, Joey Thorpe",Tish Howard,Ralph Ginzburg,,verified
1966,August,August 1966,Sissy,Susan Denberg,H. L. Hunt,,verified
1966,September,September 1966,Dianne Chandler,Dianne Chandler,Timothy Leary,,verified
1966,October,October 1966,Penny James,Linda Moon,Mel Brooks,,verified
1966,November,November 1966,Sue Batchelor,Lisa Baker,Norman Thomas,,verified
1966,December,December 1966,Nancy Gould,Susan Bernard,Sammy Davis Jr.,,verified
1967,January,January 1967,"Judy Tyler, Dianne Chandler, Melinda Windsor",Surrey Marshe,Fidel Castro,,verified
1967,February,February 1967,Helen Kirk,Kim Farber,Mark Lane,,verified
1967,March,March 1967,Nancy Chamberlain,Fran Gerard,Orson Welles,,verified
1967,April,April 1967,Cheryl Shrode,Gwen Wong,Arnold Toynbee,,verified
1967,May,May 1967,Beth Hyatt,Anne Randall,Woody Allen,,verified
1967,June,June 1967,Sharon Kristie,Joey Gibson,,,verified
1967,July,July 1967,Venita Wolf,Heather Ryan,Michael Caine,,verified
1967,August,August 1967,Lisa Baker,DeDe Lind,F. Lee Bailey,,verified
1967,September,September 1967,Bo Bussmann,Angela Dorian,John V. Lindsay,,verified
1967,October,October 1967,"Vol. 14, No. 10",Reagan Wilson,Jim Garrison,,verified
1967,November,November 1967,Beth Hyatt,Kaya Christian,Michelangelo Antonioni,,verified
1967,December,December 1967,Lynn Winchell,Lynn Winchell,Johnny Carson,,verified
1968,January,January 1968,"DeDe Lind, Angela Dorian, Kim Farber, Gwen Wong",Connie Kreski,Norman Mailer,,verified
1968,February,February 1968,Paulette Lindberg,Nancy Harwood,Jim Brown,,verified
1968,March,March 1968,Sharon Kristie,Michelle Hamilton,Truman Capote,,verified
1968,April,April 1968,Dolly Read,Gaye Rennie,Charles Percy,,verified
1968,May,May 1968,Angela Dorian,Elizabeth Jordan,Masters and Johnson,,verified
1968,June,June 1968,Jennie Wallace,Britt Fredriksen,John Kenneth Galbraith,,verified
1968,July,July 1968,Lynn Hahn,Melodye Prentiss,Paul Newman,,verified
1968,August,August 1968,Aino Korva,Gale Olson,,,verified
1968,September,September 1968,Erika Toth,Dru Hart,Stanley Kubrick,,verified
1968,October,October 1968,Dale Fahey,Majken Haugedal,Ralph Nader,,verified
1968,November,November 1968,"Vol. 15, No. 11",Paige Young,Don Rickles,,verified
1968,December,December 1968,Cynthia Myers,Cynthia Myers,,,verified
1969,January,January 1969,"Vol. 16, No. 1",Leslie Bianchini,Lee Marvin,,verified
